"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user4";2018-11-01;"LPA";162;"travel agency";19
"user3";2018-11-01;"AGP";74.0699996948;"online";50
"user9";2018-10-31;"SCQ";35.2999992371;"travel agency";5
"user9";2018-11-01;"TFS";70.6800003052;"travel agency";54
"user5";2018-11-01;"DUS";91.7300033569;"online";62
"user2";2018-11-01;"DUB";58.1100006104;"online";15
"user5";2018-10-29;"TFN";28.0599994659;"online";36
"user3";2018-10-31;"MAD";40.2099990845;"travel agency";28
"user6";2018-11-01;"RIX";115.629997253;"online";9
"user9";2018-11-01;"MAD";50.9500007629;"travel agency";86
"user1";2018-11-01;"LPA";33.6800003052;"online";2
"user8";2018-11-01;"LPA";187.580001831;"travel agency";20
"user4";2018-11-01;"MAD";9.75;"online";50
"user7";2018-10-30;"CDG";71.8399963379;"online";7
"user7";2018-11-01;"MAD";101.839996338;"online";33
"user1";2018-11-01;"MAD";2.38000011444;"call center";42
"user8";2018-11-01;"MAD";53.8699989319;"online";31
"user6";2018-11-01;"TFS";97.4599990845;"online";6
"user4";2018-11-02;"TFS";39.3199996948;"online";3
"user10";2018-11-01;"MAD";37.5;"online";29
"user2";2018-11-01;"SVQ";40.5600013733;"online";53
"user6";2018-11-01;"NCE";54.6100006104;"online";2
"user8";2018-11-02;"MAD";114.559997559;"travel agency";4
"user6";2018-11-01;"MAH";73.5500030518;"online";56
"user3";2018-11-02;"NAP";65.4000015259;"travel agency";67
"user10";2018-11-01;"RNS";103.160003662;"call center";5
"user10";2018-11-01;"MAD";211;"online";3
"user7";2018-11-01;"MAD";34.9500007629;"online";4
"user2";2018-11-01;"MAD";90.75;"online";4
"user6";2018-11-01;"MAD";20.7900009155;"call center";6
"user3";2018-10-30;"ACE";46.9300003052;"online";62
"user1";2018-11-01;"MAD";58.0600013733;"online";16
"user6";2018-10-30;"MAD";96.1500015259;"travel agency";31
"user8";2018-11-01;"MAD";87;"online";3
"user5";2018-11-01;"IBZ";48.3499984741;"online";1
"user3";2018-10-29;"MAD";64.8300018311;"travel agency";1
"user3";2018-10-29;"LPA";114.129997253;"travel agency";15
"user4";2018-11-01;"PMI";61.4500007629;"online";59
"user1";2018-11-01;"MAD";41.2999992371;"travel agency";6
"user4";2018-11-01;"MAD";233.339996338;"travel agency";74
"user10";2018-11-01;"GRX";87.5899963379;"online";31
"user6";2018-11-03;"NTE";38.7999992371;"online";14
